   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading
   4.4209662e+01	  -4.2295838e+01	   1.7483800e+02	   2.9023953e+00	   3.0152725e-01	   1.6435062e+01	   3.4766622e+01	   3.5400000e-01	   4.7528471e+00	   1.7877967e+02	
   4.4210357e+01	  -4.2298814e+01	   1.7483800e+02	   2.2048486e+00	   2.6658022e-01	   1.6420238e+01	   3.4739795e+01	   3.4086663e-01	   5.5036166e+00	   1.7842167e+02	
   4.4211051e+01	  -4.2301791e+01	   1.7483800e+02	   1.8749491e+00	   2.2986150e-01	   1.6446905e+01	   3.4724047e+01	   3.2697750e-01	   5.1296695e+00	   1.7881858e+02	
   4.4211746e+01	  -4.2304767e+01	   1.7483892e+02	   1.4615363e+00	   1.5806555e-01	   1.6458222e+01	   3.4724844e+01	   3.5182277e-01	   5.6622413e+00	   1.7843499e+02	
   4.4212440e+01	  -4.2308657e+01	   1.7483900e+02	   1.5019904e+00	   1.8034861e-01	   1.6447114e+01	   3.4732314e+01	   3.5400000e-01	   5.6628099e+00	   1.7881142e+02	
   4.4213134e+01	  -4.2311719e+01	   1.7483900e+02	   1.8154004e+00	   2.2839099e-01	   1.6447813e+01	   3.4736625e+01	   3.5400000e-01	   6.1199737e+00	   1.7857809e+02	
   4.4213829e+01	  -4.2314695e+01	   1.7483900e+02	   1.4719545e+00	   1.8302005e-01	   1.6468665e+01	   3.4732508e+01	   3.5400000e-01	   5.7378326e+00	   1.7890939e+02	
   4.4214523e+01	  -4.2317671e+01	   1.7483900e+02	   1.3039702e+00	   1.5094098e-01	   1.6469219e+01	   3.4727548e+01	   3.4153330e-01	   4.9151389e+00	   1.7912810e+02	
   4.4215218e+01	  -4.2320648e+01	   1.7483900e+02	   2.3233892e+00	   2.9379138e-01	   1.6445171e+01	   3.4740239e+01	   3.5235595e-01	   5.4010388e+00	   1.7870872e+02	
   4.4215912e+01	  -4.2323624e+01	   1.7483900e+02	   2.2531332e+00	   3.4150166e-01	   1.6464740e+01	   3.4738502e+01	   3.5400000e-01	   5.6628196e+00	   1.7943715e+02	
   4.4216607e+01	  -4.2326600e+01	   1.7483900e+02	   1.8051674e+00	   2.6320993e-01	   1.6500935e+01	   3.4727600e+01	   3.6526714e-01	   5.6625141e+00	   1.7933332e+02	
   4.4217301e+01	  -4.2329576e+01	   1.7483900e+02	   1.6073289e+00	   2.1067023e-01	   1.6477662e+01	   3.4728576e+01	   3.6700000e-01	   5.4419491e+00	   1.7891357e+02	
   4.4217996e+01	  -4.2332552e+01	   1.7483900e+02	   1.6604573e+00	   1.8416176e-01	   1.6495121e+01	   3.4738359e+01	   3.7891150e-01	   5.5332662e+00	   1.7842459e+02	
   4.4218690e+01	  -4.2335529e+01	   1.7483984e+02	   1.6028903e+00	   1.9885726e-01	   1.6538614e+01	   3.4738314e+01	   4.0375720e-01	   6.1625136e+00	   1.7851857e+02	
   4.4219384e+01	  -4.2338922e+01	   1.7484000e+02	   1.5266169e+00	   1.9656048e-01	   1.6546974e+01	   3.4733129e+01	   3.9436236e-01	   5.6743771e+00	   1.7801424e+02	
   4.4220079e+01	  -4.2341909e+01	   1.7484000e+02	   9.3346175e-01	   1.2297532e-01	   1.6513056e+01	   3.4739789e+01	   3.8139226e-01	   6.2520656e+00	   1.7945474e+02	
   4.4220773e+01	  -4.2344886e+01	   1.7484000e+02	   8.9118174e-01	   1.4182802e-01	   1.6490837e+01	   3.4765972e+01	   3.9350513e-01	   5.7163395e+00	   1.7844187e+02	
