   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading	Chl
   8.2744282e+01	   2.9171267e+01	  -5.5837600e+01	   2.6044462e+00	   2.8883835e-01	   2.3007373e+01	   3.7051120e+01	   7.6760004e+01	   1.1518661e+01	   4.4233340e+01	             NaN	
   8.2758611e+01	   2.9216300e+01	  -5.5785700e+01	   2.3181932e+00	   2.2851130e-01	   2.2954083e+01	   3.7044987e+01	   7.6893347e+01	   1.1852323e+01	   4.5343295e+01	             NaN	
   8.2772986e+01	   2.9261933e+01	  -5.5734067e+01	   2.0442538e+00	   2.1914194e-01	   2.3077113e+01	   3.7090720e+01	   7.7173381e+01	   1.1559990e+01	   4.8646660e+01	             NaN	
   8.2787315e+01	   2.9307200e+01	  -5.5679700e+01	   2.0244857e+00	   2.2175650e-01	   2.3252279e+01	   3.7133220e+01	   7.9720162e+01	   1.2840000e+01	   4.6959765e+01	             NaN	
   8.2801644e+01	   2.9357466e+01	  -5.5618800e+01	   1.9837413e+00	   2.0186590e-01	   2.3285534e+01	   3.7131233e+01	   7.7880029e+01	   1.3186647e+01	   4.6906853e+01	             NaN	
   8.2815995e+01	   2.9408800e+01	  -5.5557800e+01	   2.0001015e+00	   1.8770682e-01	   2.3318440e+01	   3.7152200e+01	   7.7800000e+01	   1.3090000e+01	   4.6820082e+01	             NaN	
   8.2872315e+01	   2.9606499e+01	  -5.5300001e+01	   1.9549918e+00	   1.6588353e-01	   2.2066252e+01	   3.6830300e+01	   9.0000000e+01	   1.2940046e+01	   4.8350228e+01	             NaN	
   8.2886620e+01	   2.9655200e+01	  -5.5236701e+01	   1.8811460e+00	   1.7637093e-01	   2.1847090e+01	   3.6777090e+01	   8.9400000e+01	   1.2643948e+01	   4.7979609e+01	             NaN	
   8.2900949e+01	   2.9704466e+01	  -5.5173801e+01	   2.0321306e+00	   2.1783887e-01	   2.1938930e+01	   3.6824479e+01	   8.5886846e+01	   1.2822784e+01	   4.9445464e+01	             NaN	
   8.2915301e+01	   2.9754799e+01	  -5.5112201e+01	   2.0530005e+00	   1.8728178e-01	   2.2087039e+01	   3.6853640e+01	   8.7417991e+01	   1.2741992e+01	   4.7940660e+01	             NaN	
   8.2929653e+01	   2.9805199e+01	  -5.5050801e+01	   2.1164619e+00	   2.3095047e-01	   2.2086388e+01	   3.6863627e+01	   8.4519916e+01	   1.2913319e+01	   4.7099580e+01	             NaN	
   8.2943981e+01	   2.9855099e+01	  -5.4989901e+01	   2.6268437e+00	   2.3975280e-01	   2.2046790e+01	   3.6824009e+01	   8.4709909e+01	   1.3193873e+01	   4.6939637e+01	             NaN	
   8.2958333e+01	   2.9903733e+01	  -5.4927901e+01	   2.4642992e+00	   2.5420081e-01	   2.2044332e+01	   3.6836762e+01	   8.3659410e+01	   1.2953663e+01	   4.7487125e+01	             NaN	
   8.2972731e+01	   2.9952199e+01	  -5.4864701e+01	   2.2297155e+00	   1.9541520e-01	   2.2092930e+01	   3.6842830e+01	   8.3809261e+01	   1.2861923e+01	   4.7510669e+01	             NaN	
   8.2987083e+01	   3.0000533e+01	  -5.4801701e+01	   2.1687560e+00	   2.1598157e-01	   2.2006570e+01	   3.6843290e+01	   8.2816852e+01	   1.2882067e+01	   4.7044039e+01	             NaN	
   8.3001458e+01	   3.0048399e+01	  -5.4739601e+01	   2.0589512e+00	   1.7393169e-01	   2.2006360e+01	   3.6876713e+01	   8.3600000e+01	   1.2944605e+01	   4.7459534e+01	             NaN	
   8.3015787e+01	   3.0098199e+01	  -5.4680701e+01	   1.9832802e+00	   1.7853932e-01	   2.2231949e+01	   3.6956324e+01	   8.1430277e+01	   1.3144063e+01	   4.4237863e+01	             NaN	
   8.3030139e+01	   3.0148532e+01	  -5.4620701e+01	   2.2728186e+00	   1.6970729e-01	   2.2634365e+01	   3.7026277e+01	   7.9970130e+01	   1.2969091e+01	   4.6696105e+01	             NaN	
   8.3044537e+01	   3.0197999e+01	  -5.4561501e+01	   2.3155041e+00	   1.8925898e-01	   2.2611453e+01	   3.7006500e+01	   8.0650134e+01	   1.2779964e+01	   4.7099287e+01	             NaN	
   8.3058889e+01	   3.0246499e+01	  -5.4500501e+01	   2.3104596e+00	   2.2869465e-01	   2.2358471e+01	   3.6938634e+01	   8.0865644e+01	   1.2841829e+01	   4.8100837e+01	             NaN	
   8.3073264e+01	   3.0293732e+01	  -5.4440401e+01	   2.1356103e+00	   1.6723846e-01	   2.2097852e+01	   3.6880554e+01	   8.2700000e+01	   1.2878029e+01	   4.6745751e+01	             NaN	
